"","stock","method","value"
"1",0,"GP",0
"2",0.306122448979592,"GP",0.306122448979592
"3",0.612244897959184,"GP",0.612244897959184
"4",0.918367346938776,"GP",0.918367346938776
"5",1.22448979591837,"GP",1.22448979591837
"6",1.53061224489796,"GP",1.53061224489796
"7",1.83673469387755,"GP",1.83673469387755
"8",2.14285714285714,"GP",2.14285714285714
"9",2.44897959183673,"GP",2.44897959183673
"10",2.75510204081633,"GP",2.75510204081633
"11",3.06122448979592,"GP",3.06122448979592
"12",3.36734693877551,"GP",3.36734693877551
"13",3.6734693877551,"GP",3.6734693877551
"14",3.97959183673469,"GP",3.97959183673469
"15",4.28571428571429,"GP",4.28571428571429
"16",4.59183673469388,"GP",4.59183673469388
"17",4.89795918367347,"GP",4.89795918367347
"18",5.20408163265306,"GP",5.20408163265306
"19",5.51020408163265,"GP",5.51020408163265
"20",5.81632653061224,"GP",5.81632653061224
"21",6.12244897959184,"GP",0
"22",6.42857142857143,"GP",0
"23",6.73469387755102,"GP",0.306122448979592
"24",7.04081632653061,"GP",0.612244897959184
"25",7.3469387755102,"GP",0.918367346938776
"26",7.6530612244898,"GP",1.22448979591837
"27",7.95918367346939,"GP",1.53061224489796
"28",8.26530612244898,"GP",1.83673469387755
"29",8.57142857142857,"GP",1.83673469387755
"30",8.87755102040816,"GP",2.14285714285714
"31",9.18367346938776,"GP",2.44897959183673
"32",9.48979591836735,"GP",2.75510204081633
"33",9.79591836734694,"GP",3.06122448979592
"34",10.1020408163265,"GP",3.36734693877551
"35",10.4081632653061,"GP",3.6734693877551
"36",10.7142857142857,"GP",3.97959183673469
"37",11.0204081632653,"GP",4.28571428571429
"38",11.3265306122449,"GP",4.59183673469388
"39",11.6326530612245,"GP",4.89795918367347
"40",11.9387755102041,"GP",5.20408163265306
"41",12.2448979591837,"GP",5.51020408163265
"42",12.5510204081633,"GP",5.81632653061224
"43",12.8571428571429,"GP",6.12244897959184
"44",13.1632653061224,"GP",6.42857142857143
"45",13.469387755102,"GP",6.73469387755102
"46",13.7755102040816,"GP",7.04081632653061
"47",14.0816326530612,"GP",7.3469387755102
"48",14.3877551020408,"GP",7.6530612244898
"49",14.6938775510204,"GP",7.95918367346939
"50",15,"GP",8.26530612244898
"51",0,"True",0
"52",0.306122448979592,"True",0.306122448979592
"53",0.612244897959184,"True",0.612244897959184
"54",0.918367346938776,"True",0.918367346938776
"55",1.22448979591837,"True",1.22448979591837
"56",1.53061224489796,"True",1.53061224489796
"57",1.83673469387755,"True",1.83673469387755
"58",2.14285714285714,"True",2.14285714285714
"59",2.44897959183673,"True",2.44897959183673
"60",2.75510204081633,"True",2.75510204081633
"61",3.06122448979592,"True",3.06122448979592
"62",3.36734693877551,"True",3.36734693877551
"63",3.6734693877551,"True",3.6734693877551
"64",3.97959183673469,"True",3.97959183673469
"65",4.28571428571429,"True",4.28571428571429
"66",4.59183673469388,"True",0
"67",4.89795918367347,"True",0
"68",5.20408163265306,"True",0
"69",5.51020408163265,"True",0
"70",5.81632653061224,"True",0
"71",6.12244897959184,"True",0
"72",6.42857142857143,"True",0
"73",6.73469387755102,"True",0
"74",7.04081632653061,"True",0.306122448979592
"75",7.3469387755102,"True",0.612244897959184
"76",7.6530612244898,"True",0.918367346938776
"77",7.95918367346939,"True",1.22448979591837
"78",8.26530612244898,"True",1.53061224489796
"79",8.57142857142857,"True",1.83673469387755
"80",8.87755102040816,"True",2.14285714285714
"81",9.18367346938776,"True",2.44897959183673
"82",9.48979591836735,"True",2.75510204081633
"83",9.79591836734694,"True",3.06122448979592
"84",10.1020408163265,"True",3.36734693877551
"85",10.4081632653061,"True",3.6734693877551
"86",10.7142857142857,"True",3.97959183673469
"87",11.0204081632653,"True",4.28571428571429
"88",11.3265306122449,"True",4.59183673469388
"89",11.6326530612245,"True",4.89795918367347
"90",11.9387755102041,"True",5.20408163265306
"91",12.2448979591837,"True",5.51020408163265
"92",12.5510204081633,"True",5.81632653061224
"93",12.8571428571429,"True",6.12244897959184
"94",13.1632653061224,"True",6.42857142857143
"95",13.469387755102,"True",6.73469387755102
"96",13.7755102040816,"True",7.04081632653061
"97",14.0816326530612,"True",7.3469387755102
"98",14.3877551020408,"True",7.6530612244898
"99",14.6938775510204,"True",7.95918367346939
"100",15,"True",8.26530612244898
"101",0,"MLE",0
"102",0.306122448979592,"MLE",0.306122448979592
"103",0.612244897959184,"MLE",0.612244897959184
"104",0.918367346938776,"MLE",0.918367346938776
"105",1.22448979591837,"MLE",1.22448979591837
"106",1.53061224489796,"MLE",1.53061224489796
"107",1.83673469387755,"MLE",1.83673469387755
"108",2.14285714285714,"MLE",2.14285714285714
"109",2.44897959183673,"MLE",2.44897959183673
"110",2.75510204081633,"MLE",2.75510204081633
"111",3.06122448979592,"MLE",3.06122448979592
"112",3.36734693877551,"MLE",3.36734693877551
"113",3.6734693877551,"MLE",3.6734693877551
"114",3.97959183673469,"MLE",3.97959183673469
"115",4.28571428571429,"MLE",4.28571428571429
"116",4.59183673469388,"MLE",4.59183673469388
"117",4.89795918367347,"MLE",4.89795918367347
"118",5.20408163265306,"MLE",5.20408163265306
"119",5.51020408163265,"MLE",5.51020408163265
"120",5.81632653061224,"MLE",5.81632653061224
"121",6.12244897959184,"MLE",6.12244897959184
"122",6.42857142857143,"MLE",0
"123",6.73469387755102,"MLE",0.306122448979592
"124",7.04081632653061,"MLE",0.612244897959184
"125",7.3469387755102,"MLE",0
"126",7.6530612244898,"MLE",0.306122448979592
"127",7.95918367346939,"MLE",0
