"","index","variable","value","chain"
"1",1,"deviance",39.2344269330646,1
"2",2,"deviance",37.3520087087707,1
"3",3,"deviance",35.9772575559518,1
"4",4,"deviance",37.0268236556702,1
"5",5,"deviance",40.4987825202351,1
"6",6,"deviance",37.2776865326636,1
"7",7,"deviance",34.8756787288936,1
"8",8,"deviance",37.2305971860284,1
"9",9,"deviance",34.2993172678483,1
"10",10,"deviance",36.9042886632286,1
"11",11,"deviance",34.5520339950002,1
"12",12,"deviance",33.8869064587892,1
"13",13,"deviance",37.7282844026093,1
"14",14,"deviance",37.3946417366944,1
"15",15,"deviance",32.5262631988162,1
"16",16,"deviance",36.8942161861598,1
"17",17,"deviance",38.9298179187141,1
"18",18,"deviance",40.5890467609072,1
"19",19,"deviance",44.4304687610165,1
"20",20,"deviance",35.9029766874994,1
"21",21,"deviance",45.1233313279239,1
"22",22,"deviance",40.085923800847,1
"23",23,"deviance",38.1913378738282,1
"24",24,"deviance",35.7280556277248,1
"25",25,"deviance",38.2546710450152,1
"26",26,"deviance",36.3030333781267,1
"27",27,"deviance",35.9973770671938,1
"28",28,"deviance",35.0453052129437,1
"29",29,"deviance",40.6882215538734,1
"30",30,"deviance",38.0411560450966,1
"31",31,"deviance",35.8411454752931,1
"32",32,"deviance",38.9109705468801,1
"33",33,"deviance",38.5928469008353,1
"34",34,"deviance",39.2447980307732,1
"35",35,"deviance",36.0213165165268,1
"36",36,"deviance",36.0225774327451,1
"37",37,"deviance",41.6129022408529,1
"38",38,"deviance",37.3777746381466,1
"39",39,"deviance",38.4991132526862,1
"40",40,"deviance",36.5231454921452,1
"41",41,"deviance",34.2909374786357,1
"42",42,"deviance",32.8273606853307,1
"43",43,"deviance",35.6693772275304,1
"44",44,"deviance",32.4036415435717,1
"45",45,"deviance",34.1902798260815,1
"46",46,"deviance",35.1896104738734,1
"47",47,"deviance",33.7293547483415,1
"48",48,"deviance",35.1245806352088,1
"49",49,"deviance",32.954178167263,1
"50",50,"deviance",40.4096478040914,1
"51",51,"deviance",35.2764590683576,1
"52",52,"deviance",32.4006970076238,1
"53",53,"deviance",39.4872326420498,1
"54",54,"deviance",33.7288196326668,1
"55",55,"deviance",36.0659260378024,1
"56",56,"deviance",34.8591523598749,1
"57",57,"deviance",34.5500406163923,1
"58",58,"deviance",34.8209847030107,1
"59",59,"deviance",33.3946928256834,1
"60",60,"deviance",38.233814710804,1
"61",61,"deviance",46.434054561683,1
"62",62,"deviance",34.3643979480811,1
"63",63,"deviance",37.5525881973503,1
"64",64,"deviance",34.9555736797073,1
"65",65,"deviance",38.153420653408,1
"66",66,"deviance",36.3172243455618,1
"67",67,"deviance",35.5528748019382,1
"68",68,"deviance",33.1164047029111,1
"69",69,"deviance",33.5082896744929,1
"70",70,"deviance",32.5837199838629,1
"71",71,"deviance",39.3049918927565,1
"72",72,"deviance",41.5993011508405,1
"73",73,"deviance",31.8383229437584,1
"74",74,"deviance",33.9272058278265,1
"75",75,"deviance",31.5220909690411,1
"76",76,"deviance",33.7370277357592,1
"77",77,"deviance",32.7444266395087,1
"78",78,"deviance",35.2309654123046,1
"79",79,"deviance",36.4184055617055,1
"80",80,"deviance",40.1798257319396,1
"81",81,"deviance",36.0024921264334,1
"82",82,"deviance",37.567920181129,1
"83",83,"deviance",33.5582730159031,1
"84",84,"deviance",36.6095518618925,1
"85",85,"deviance",35.8240424105895,1
"86",86,"deviance",37.2933423285071,1
"87",87,"deviance",37.2183827767938,1
"88",88,"deviance",33.6276574023998,1
"89",89,"deviance",34.0192833625844,1
"90",90,"deviance",32.9283723464151,1
"91",91,"deviance",37.1840178009803,1
"92",92,"deviance",36.4985721542024,1
"93",93,"deviance",33.4748977145233,1
"94",94,"deviance",36.2366228215126,1
"95",95,"deviance",36.2074579688394,1
"96",96,"deviance",36.7585547662814,1
"97",97,"deviance",40.6355755012882,1
"98",98,"deviance",33.4434824396894,1
"99",99,"deviance",42.4806492087228,1
"100",100,"deviance",38.9227144210215,1
"101",101,"deviance",34.5564640017635,1
"102",102,"deviance",41.1716767745736,1
"103",103,"deviance",34.9668696961793,1
"104",104,"deviance",34.8166305948752,1
"105",105,"deviance",40.684994744752,1
"106",106,"deviance",38.3105169308743,1
"107",107,"deviance",33.3940131912387,1
"108",108,"deviance",38.6638541136445,1
"109",109,"deviance",34.1220554406507,1
"110",110,"deviance",41.5341085101072,1
"111",111,"deviance",37.6686803699495,1
"112",112,"deviance",35.4242276569288,1
"113",113,"deviance",33.7533929449027,1
"114",114,"deviance",37.2432307086442,1
"115",115,"deviance",35.8208377942665,1
"116",116,"deviance",32.8576435651446,1
"117",117,"deviance",34.254036761147,1
"118",118,"deviance",38.3284712013029,1
"119",119,"deviance",33.7910954032688,1
"120",120,"deviance",33.6244194562501,1
"121",121,"deviance",31.8521762563343,1
"122",122,"deviance",40.5397800172998,1
"123",123,"deviance",34.1452686200743,1
"124",124,"deviance",33.2358386225732,1
"125",125,"deviance",37.434948163687,1
"126",126,"deviance",33.0089098578624,1
"127",127,"deviance",33.2639477178502,1
"128",128,"deviance",33.8789740673574,1
"129",129,"deviance",34.7725528206548,1
"130",130,"deviance",34.6623148568869,1
"131",131,"deviance",41.2398900119712,1
"132",132,"deviance",37.4249143279075,1
"133",133,"deviance",38.7538423790649,1
"134",134,"deviance",36.13089002481,1
"135",135,"deviance",40.4443599310751,1
"136",136,"deviance",35.3240707154559,1
"137",137,"deviance",35.8931140364332,1
"138",138,"deviance",40.2121492292156,1
"139",139,"deviance",42.9830507137131,1
"140",140,"deviance",39.3836514591499,1
"141",141,"deviance",37.5389066541862,1
"142",142,"deviance",41.5476254974981,1
"143",143,"deviance",36.3220889130805,1
"144",144,"deviance",41.1464185518618,1
"145",145,"deviance",34.7768494729142,1
"146",146,"deviance",35.1702777222455,1
"147",147,"deviance",36.216806986971,1
"148",148,"deviance",36.242175588015,1
"149",149,"deviance",33.7985063079278,1
"150",150,"deviance",35.7829219000322,1
"151",151,"deviance",35.5145542618086,1
"152",152,"deviance",35.4988922749141,1
"153",153,"deviance",37.0003686372854,1
"154",154,"deviance",36.4993353550187,1
"155",155,"deviance",34.710196145318,1
"156",156,"deviance",35.1064383936968,1
"157",157,"deviance",35.2064305000393,1
"158",158,"deviance",37.9466664457796,1
"159",159,"deviance",34.3679061479393,1
"160",160,"deviance",33.552233522885,1
"161",161,"deviance",36.8831141847239,1
"162",162,"deviance",32.487964649153,1
"163",163,"deviance",34.9125944823064,1
"164",164,"deviance",40.0232025267883,1
"165",165,"deviance",35.9176435791443,1
"166",166,"deviance",32.8166546422728,1
"167",167,"deviance",31.8756205525717,1
"168",168,"deviance",35.6935022164977,1
"169",169,"deviance",32.3651478655189,1
"170",1,"K",38.457066297659,1
"171",2,"K",33.8016110142707,1
"172",3,"K",36.365695959479,1
"173",4,"K",16.8443064800202,1
"174",5,"K",31.0122379139032,1
"175",6,"K",21.2141493615286,1
"176",7,"K",35.093714963705,1
"177",8,"K",31.6627134512451,1
"178",9,"K",23.2104492286851,1
"179",10,"K",28.0803996917038,1
"180",11,"K",21.4496465463107,1
"181",12,"K",21.6095490443628,1
"182",13,"K",21.7427821412405,1
"183",14,"K",19.3301885674168,1
"184",15,"K",27.9724155821406,1
"185",16,"K",38.4325612924391,1
"186",17,"K",26.6571744673027,1
"187",18,"K",38.4396903289438,1
"188",19,"K",17.901444268125,1
"189",20,"K",14.4910702478958,1
"190",21,"K",32.1894594818565,1
"191",22,"K",38.6637937300606,1
"192",23,"K",29.3047680389915,1
"193",24,"K",37.6540249772645,1
"194",25,"K",18.9382214004523,1
"195",26,"K",31.3470444925903,1
"196",27,"K",24.8634378190492,1
"197",28,"K",31.8380332574818,1
"198",29,"K",21.2190986430976,1
"199",30,"K",25.162938907892,1
"200",31,"K",16.7259529828841,1
"201",32,"K",20.4264815547709,1
"202",33,"K",34.2648933189846,1
"203",34,"K",38.0718246038608,1
"204",35,"K",20.3732054332969,1
"205",36,"K",24.8828987249097,1
"206",37,"K",24.2811525496718,1
"207",38,"K",29.9747355115476,1
"208",39,"K",14.1415137884181,1
"209",40,"K",18.310247306827,1
"210",41,"K",15.8135540187478,1
"211",42,"K",28.187866880766,1
"212",43,"K",28.6125539715689,1
"213",44,"K",31.5350706381785,1
"214",45,"K",28.5966083463369,1
"215",46,"K",19.9870906814492,1
"216",47,"K",38.7199956654247,1
"217",48,"K",27.7812011046089,1
"218",49,"K",30.7862820727441,1
"219",50,"K",24.0247142276181,1
"220",51,"K",24.7050745182203,1
"221",52,"K",38.924664914207,1
"222",53,"K",17.2675335652886,1
"223",54,"K",20.9893020996421,1
"224",55,"K",25.5828333386026,1
"225",56,"K",29.868613549162,1
"226",57,"K",19.6202743654284,1
"227",58,"K",34.1980029710386,1
"228",59,"K",20.528956251984,1
"229",60,"K",24.0671742467402,1
"230",61,"K",18.0891830768852,1
"231",62,"K",23.1452721930688,1
"232",63,"K",29.7505697454109,1
"233",64,"K",20.7783800735093,1
"234",65,"K",31.5625120705987,1
"235",66,"K",18.9529266628708,1
"236",67,"K",29.3269545441703,1
"237",68,"K",37.8695134713377,1
"238",69,"K",31.6221097825038,1
"239",70,"K",30.0466094920272,1
"240",71,"K",32.528201515497,1
"241",72,"K",34.7856698293127,1
"242",73,"K",33.7731977634808,1
"243",74,"K",24.652770975114,1
"244",75,"K",35.4337703140156,1
"245",76,"K",27.8437430078648,1
"246",77,"K",23.4021245456025,1
"247",78,"K",22.1371163986687,1
"248",79,"K",28.8387861107838,1
"249",80,"K",23.0264569049918,1
"250",81,"K",35.8023887634428,1
"251",82,"K",20.962578712218,1
"252",83,"K",19.7613408118351,1
"253",84,"K",25.8157982743555,1
"254",85,"K",32.2022976053728,1
"255",86,"K",32.0737421132313,1
"256",87,"K",30.1595064522668,1
"257",88,"K",31.5124055079122,1
"258",89,"K",36.1239460570169,1
"259",90,"K",30.9177158865064,1
"260",91,"K",35.0200594903622,1
"261",92,"K",27.6104613668547,1
"262",93,"K",20.5797331624016,1
"263",94,"K",18.9667948034823,1
"264",95,"K",25.2730494433922,1
"265",96,"K",33.21430806792,1
"266",97,"K",19.3854118164376,1
"267",98,"K",35.8730517258927,1
"268",99,"K",30.7313504403712,1
"269",100,"K",28.5136316946943,1
"270",101,"K",19.2468902166393,1
"271",102,"K",20.1318751222603,1
"272",103,"K",27.9256318757828,1
"273",104,"K",29.439931442934,1
"274",105,"K",35.0133530109147,1
"275",106,"K",25.4841807551377,1
"276",107,"K",38.7726482540584,1
"277",108,"K",36.9520042428193,1
"278",109,"K",23.6706251913299,1
"279",110,"K",28.8426215857312,1
"280",111,"K",21.8653916661329,1
"281",112,"K",20.4169257756395,1
"282",113,"K",24.5607008413662,1
"283",114,"K",38.4950619004911,1
"284",115,"K",22.9748204574523,1
"285",116,"K",21.6799801663885,1
"286",117,"K",23.2882420893371,1
"287",118,"K",23.0486444723833,1
"288",119,"K",24.5638181406381,1
"289",120,"K",18.077144646433,1
"290",121,"K",30.7811645454729,1
"291",122,"K",34.5548820297649,1
"292",123,"K",19.954899902417,1
"293",124,"K",39.6692699089865,1
"294",125,"K",28.9221080111547,1
"295",126,"K",34.5023061695187,1
"296",127,"K",20.6318412427315,1
"297",128,"K",32.9166990039648,1
"298",129,"K",34.7168695863144,1
"299",130,"K",32.1650238928726,1
"300",131,"K",35.6189939675683,1
"301",132,"K",27.3496880132318,1
"302",133,"K",22.6527245376921,1
"303",134,"K",18.9455476061837,1
"304",135,"K",36.4781715237542,1
"305",136,"K",18.8210954802419,1
"306",137,"K",18.090292886468,1
"307",138,"K",25.6877252352,1
"308",139,"K",12.2335473121886,1
"309",140,"K",15.6202807430246,1
"310",141,"K",13.4605237098636,1
"311",142,"K",37.4292327676168,1
"312",143,"K",38.1643299905124,1
"313",144,"K",31.2859282309899,1
"314",145,"K",27.2649289737858,1
"315",146,"K",27.7081040713026,1
"316",147,"K",16.2740804173574,1
"317",148,"K",26.5947994453051,1
"318",149,"K",18.1527039597884,1
"319",150,"K",19.9855139829508,1
"320",151,"K",17.0925141329163,1
"321",152,"K",20.9503717601494,1
"322",153,"K",35.9167681052328,1
"323",154,"K",28.9246792762105,1
"324",155,"K",31.7841554151665,1
"325",156,"K",25.6508452788504,1
"326",157,"K",34.2459226125665,1
"327",158,"K",14.4603411319595,1
"328",159,"K",22.8559725748464,1
"329",160,"K",29.8163967993568,1
"330",161,"K",18.4555682723204,1
"331",162,"K",35.440707087357,1
"332",163,"K",32.8457205730729,1
"333",164,"K",19.9678496978774,1
"334",165,"K",36.1729678568374,1
"335",166,"K",26.394048722934,1
"336",167,"K",31.2629305178627,1
"337",168,"K",15.8388162001217,1
"338",169,"K",34.000298440961,1
"339",1,"r0",0.9023851265783,1
"340",2,"r0",0.924040041608482,1
"341",3,"r0",1.19347636441871,1
"342",4,"r0",1.4583454146436,1
"343",5,"r0",0.967020954756431,1
"344",6,"r0",1.19712674123314,1
"345",7,"r0",1.37321148188818,1
"346",8,"r0",1.4317852028488,1
"347",9,"r0",0.800218002183134,1
"348",10,"r0",1.02623393223641,1
"349",11,"r0",0.819319328796854,1
"350",12,"r0",0.556677768052947,1
"351",13,"r0",0.603970734037023,1
"352",14,"r0",0.677891938370755,1
"353",15,"r0",0.44992190882503,1
"354",16,"r0",0.251220529738988,1
"355",17,"r0",1.23173275846659,1
"356",18,"r0",1.86266935855504,1
"357",19,"r0",1.41546906335923,1
"358",20,"r0",0.983421434636987,1
"359",21,"r0",2.16326947874387,1
"360",22,"r0",1.32985318561834,1
"361",23,"r0",1.15369651766744,1
"362",24,"r0",1.49679979530736,1
"363",25,"r0",1.17794412353225,1
"364",26,"r0",1.40939614024586,1
"365",27,"r0",1.34855786903737,1
"366",28,"r0",1.32079304889431,1
"367",29,"r0",1.03215811240478,1
"368",30,"r0",0.907637414941514,1
"369",31,"r0",1.02300753206397,1
"370",32,"r0",1.45728053825649,1
"371",33,"r0",1.59511788963704,1
"372",34,"r0",1.1667812600722,1
"373",35,"r0",1.13862107374717,1
"374",36,"r0",1.47911771614135,1
"375",37,"r0",1.71321382603713,1
"376",38,"r0",1.12479526981925,1
"377",39,"r0",1.11462178850594,1
"378",40,"r0",1.5023940465103,1
"379",41,"r0",0.935603469668464,1
"380",42,"r0",0.416956866071044,1
"381",43,"r0",0.48999837563976,1
"382",44,"r0",0.386661786748749,1
"383",45,"r0",0.419898150564612,1
"384",46,"r0",1.24141030845062,1
"385",47,"r0",0.308185630389992,1
"386",48,"r0",0.529891447437414,1
"387",49,"r0",0.344361220431516,1
"388",50,"r0",0.668681171287694,1
"389",51,"r0",0.475058062601009,1
"390",52,"r0",0.286285491171503,1
"391",53,"r0",0.758616321066652,1
"392",54,"r0",0.811271202916604,1
"393",55,"r0",0.630799729580101,1
"394",56,"r0",0.420712114969335,1
"395",57,"r0",1.22541004698016,1
"396",58,"r0",1.40996056863766,1
"397",59,"r0",0.80905507785987,1
"398",60,"r0",1.60041845934324,1
"399",61,"r0",2.40394606143447,1
"400",62,"r0",1.14149594755816,1
"401",63,"r0",1.31862145917057,1
"402",64,"r0",1.02341168790848,1
"403",65,"r0",1.13292704127345,1
"404",66,"r0",1.14291199922311,1
"405",67,"r0",1.12897613366353,1
"406",68,"r0",0.282624008280767,1
"407",69,"r0",0.382023852602018,1
"408",70,"r0",0.364278654485094,1
"409",71,"r0",0.386382675900729,1
"410",72,"r0",0.362423850499741,1
"411",73,"r0",0.341805009284796,1
"412",74,"r0",0.453214822499907,1
"413",75,"r0",0.316211721257712,1
"414",76,"r0",0.410323305813463,1
"415",77,"r0",0.522332773177621,1
"416",78,"r0",1.17343348677915,1
"417",79,"r0",1.08126441081483,1
"418",80,"r0",1.56071869936259,1
"419",81,"r0",1.42183338609621,1
"420",82,"r0",1.38926147042212,1
"421",83,"r0",0.721258335400103,1
"422",84,"r0",1.01937380895662,1
"423",85,"r0",1.49737127591431,1
"424",86,"r0",1.22640571881357,1
"425",87,"r0",0.900343934607427,1
"426",88,"r0",0.37884909806986,1
"427",89,"r0",0.342697033203369,1
"428",90,"r0",0.381793197318158,1
"429",91,"r0",1.05088522798984,1
"430",92,"r0",1.63256283286504,1
"431",93,"r0",0.714834934966581,1
"432",94,"r0",0.759520024087817,1
"433",95,"r0",1.10886602445081,1
"434",96,"r0",1.67750469652367,1
"435",97,"r0",0.616989433911508,1
"436",98,"r0",0.291394504873181,1
"437",99,"r0",0.649698842435752,1
"438",100,"r0",1.80904389839644,1
"439",101,"r0",1.09517131037088,1
"440",102,"r0",0.855216471710289,1
"441",103,"r0",1.1616194379942,1
"442",104,"r0",1.3522785717816,1
"443",105,"r0",1.5389148884202,1
"444",106,"r0",1.15151781474733,1
"445",107,"r0",0.262023738698864,1
"446",108,"r0",0.330347264150935,1
"447",109,"r0",0.58467629730504,1
"448",110,"r0",1.66659154421494,1
"449",111,"r0",0.542920030995426,1
"450",112,"r0",0.640207109266043,1
"451",113,"r0",0.606916468407426,1
"452",114,"r0",0.313932565130617,1
"453",115,"r0",1.3229343172667,1
"454",116,"r0",0.6252816428641,1
"455",117,"r0",0.61940247414777,1
"456",118,"r0",0.810634761020745,1
"457",119,"r0",0.468163873634969,1
"458",120,"r0",0.790298926516861,1
"459",121,"r0",0.385209403649631,1
"460",122,"r0",0.364736879686416,1
"461",123,"r0",0.653743401617809,1
"462",124,"r0",0.265275894062217,1
"463",125,"r0",0.544927082084521,1
"464",126,"r0",0.331834936369923,1
"465",127,"r0",0.633516219238497,1
"466",128,"r0",0.334025713598458,1
"467",129,"r0",0.287753948622861,1
"468",130,"r0",0.340571694120245,1
"469",131,"r0",0.680254213449795,1
"470",132,"r0",1.56181325407492,1
"471",133,"r0",1.39310311012482,1
"472",134,"r0",1.54286352501184,1
"473",135,"r0",1.39318641850197,1
"474",136,"r0",0.642889014840588,1
"475",137,"r0",0.713056933974112,1
"476",138,"r0",1.00169771792631,1
"477",139,"r0",1.38530034358978,1
"478",140,"r0",1.78023970431102,1
"479",141,"r0",1.16203676930098,1
"480",142,"r0",1.29843822959983,1
"481",143,"r0",0.328371178301567,1
"482",144,"r0",0.444650615011668,1
"483",145,"r0",0.399388130971218,1
"484",146,"r0",0.448814907445256,1
"485",147,"r0",1.16827142237852,1
"486",148,"r0",1.43161221849862,1
"487",149,"r0",0.873413975166497,1
"488",150,"r0",0.843864734000115,1
"489",151,"r0",0.798170487921442,1
"490",152,"r0",1.25984501574103,1
"491",153,"r0",1.08040835902305,1
"492",154,"r0",1.57380715934862,1
"493",155,"r0",1.32149729250206,1
"494",156,"r0",1.35417293278058,1
"495",157,"r0",1.48435963558776,1
"496",158,"r0",1.19988450030672,1
"497",159,"r0",0.591235124606607,1
"498",160,"r0",0.360575626265952,1
"499",161,"r0",1.00972271228468,1
"500",162,"r0",0.301956827260965,1
"501",163,"r0",0.372365795495611,1
"502",164,"r0",0.519108943116309,1
"503",165,"r0",0.301559594721976,1
"504",166,"r0",0.430954002987199,1
"505",167,"r0",0.368726590410139,1
"506",168,"r0",0.898721391207911,1
"507",169,"r0",0.356325273023999,1
"508",1,"stdQ",0.0480007978313826,1
"509",2,"stdQ",0.0526603839306903,1
"510",3,"stdQ",0.0468659780098079,1
"511",4,"stdQ",0.0478688077827863,1
