"","model","parameters","replicate","simulation","noise","value"
"131","Allen","C","31","2","0.01",0.994505494505495
"132","Allen","C","32","2","0.01",0.994565217391304
"133","Allen","C","33","2","0.01",0.994475138121547
"134","Allen","C","34","2","0.01",0.994475138121547
"135","Allen","C","35","2","0.01",0.989010989010989
"136","Allen","C","36","2","0.01",0.989130434782609
"137","Allen","C","37","2","0.01",0.994475138121547
"138","Allen","C","38","2","0.01",0.994652406417112
"139","Allen","C","39","2","0.01",0.988950276243094
"140","Allen","C","40","2","0.01",0.988950276243094
"141","Allen","C","41","2","0.01",0.994535519125683
"142","Allen","C","42","2","0.01",0.994505494505495
"143","Allen","C","43","2","0.01",0.989010989010989
"144","Allen","C","44","2","0.01",0.989071038251366
"145","Allen","C","45","2","0.01",0.989130434782609
"146","Allen","C","46","2","0.01",0.994535519125683
"147","Allen","C","47","2","0.01",0.994535519125683
"148","Allen","C","48","2","0.01",0.989247311827957
"149","Allen","C","49","2","0.01",0.994535519125683
"150","Allen","C","50","2","0.01",0.994594594594595
"151","Allen","C","51","2","0.01",0.989130434782609
"152","Allen","C","52","2","0.01",0.99438202247191
"153","Allen","C","53","2","0.01",0.994475138121547
"154","Allen","C","54","2","0.01",0.989189189189189
"155","Allen","C","55","2","0.01",0.989189189189189
"156","Allen","C","56","2","0.01",0.989130434782609
"157","Allen","C","57","2","0.01",0.989071038251366
"158","Allen","C","58","2","0.01",0.989130434782609
"159","Allen","C","59","2","0.01",0.989189189189189
"160","Allen","C","60","2","0.01",0.994623655913978
"161","Allen","C","61","2","0.01",0.994565217391304
"162","Allen","C","62","2","0.01",0.988950276243094
"163","Allen","C","63","2","0.01",0.989417989417989
"164","Allen","C","64","2","0.01",0.989247311827957
"165","Allen","C","65","2","0.01",0.994475138121547
"166","Allen","C","66","2","0.01",0.994594594594595
"167","Allen","C","67","2","0.01",0.989130434782609
"168","Allen","C","68","2","0.01",0.983957219251337
"169","Allen","C","69","2","0.01",0.994535519125683
"170","Allen","C","70","2","0.01",0.994565217391304
"171","Allen","C","71","2","0.01",0.994413407821229
"172","Allen","C","72","2","0.01",0.994594594594595
"173","Allen","C","73","2","0.01",0.989130434782609
"174","Allen","C","74","2","0.01",0.989071038251366
"175","Allen","C","75","2","0.01",0.989071038251366
"176","Allen","C","76","2","0.01",0.994413407821229
"177","Allen","C","77","2","0.01",0.99438202247191
"178","Allen","C","78","2","0.01",0.994505494505495
"179","Allen","C","79","2","0.01",0.994652406417112
"180","Allen","C","80","2","0.01",0.994444444444445
"181","Allen","C","81","2","0.01",0.989189189189189
"182","Allen","C","82","2","0.01",0.994413407821229
"183","Allen","C","83","2","0.01",0.994505494505495
"184","Allen","C","84","2","0.01",0.994535519125683
"185","Allen","C","85","2","0.01",0.994505494505495
"186","Allen","C","86","2","0.01",0.994505494505495
"187","Allen","C","87","2","0.01",0.989071038251366
"188","Allen","C","88","2","0.01",0.989071038251366
"189","Allen","C","89","2","0.01",0.994565217391304
"190","Allen","C","90","2","0.01",0.994535519125683
"191","Allen","C","91","2","0.01",0.994565217391304
"192","Allen","C","92","2","0.01",0.994535519125683
"193","Allen","C","93","2","0.01",0.988950276243094
"194","Allen","C","94","2","0.01",0.994413407821229
"195","Allen","C","95","2","0.01",0.983957219251337
"196","Allen","C","96","2","0.01",0.994623655913978
"197","Allen","C","97","2","0.01",0.989130434782609
"198","Allen","C","98","2","0.01",1
"199","Allen","C","99","2","0.01",0.989130434782609
"200","Allen","C","100","2","0.01",0.994475138121547
"201","Allen","C","1","3","0.01",0.967391304347826
"202","Allen","C","2","3","0.01",0.962365591397849
"203","Allen","C","3","3","0.01",0.966666666666667
"204","Allen","C","4","3","0.01",0.96195652173913
"205","Allen","C","5","3","0.01",0.961748633879781
"206","Allen","C","6","3","0.01",0.967213114754098
"207","Allen","C","7","3","0.01",0.962365591397849
"208","Allen","C","8","3","0.01",0.967032967032967
"209","Allen","C","9","3","0.01",0.967213114754098
"210","Allen","C","10","3","0.01",0.961538461538461
"211","Allen","C","11","3","0.01",0.961748633879781
"212","Allen","C","12","3","0.01",0.961748633879781
"213","Allen","C","13","3","0.01",0.966850828729282
"214","Allen","C","14","3","0.01",0.960674157303371
"215","Allen","C","15","3","0.01",0.967032967032967
"216","Allen","C","16","3","0.01",0.967213114754098
"217","Allen","C","17","3","0.01",0.961538461538461
"218","Allen","C","18","3","0.01",0.961748633879781
"219","Allen","C","19","3","0.01",0.967391304347826
"220","Allen","C","20","3","0.01",0.961748633879781
"221","Allen","C","21","3","0.01",0.966850828729282
"222","Allen","C","22","3","0.01",0.96195652173913
"223","Allen","C","23","3","0.01",0.967213114754098
"224","Allen","C","24","3","0.01",0.960893854748603
"225","Allen","C","25","3","0.01",0.962162162162162
"226","Allen","C","26","3","0.01",0.967391304347826
"227","Allen","C","27","3","0.01",0.973404255319149
"228","Allen","C","28","3","0.01",0.96045197740113
"229","Allen","C","29","3","0.01",0.96195652173913
"230","Allen","C","30","3","0.01",0.962365591397849
"231","Allen","C","31","3","0.01",0.967032967032967
"232","Allen","C","32","3","0.01",0.967391304347826
"233","Allen","C","33","3","0.01",0.966850828729282
"234","Allen","C","34","3","0.01",0.961325966850829
"235","Allen","C","35","3","0.01",0.961538461538461
"236","Allen","C","36","3","0.01",0.967391304347826
"237","Allen","C","37","3","0.01",0.961325966850829
"238","Allen","C","38","3","0.01",0.967914438502674
"239","Allen","C","39","3","0.01",0.961325966850829
"240","Allen","C","40","3","0.01",0.961325966850829
"241","Allen","C","41","3","0.01",0.961748633879781
"242","Allen","C","42","3","0.01",0.961538461538461
"243","Allen","C","43","3","0.01",0.961538461538461
"244","Allen","C","44","3","0.01",0.961748633879781
"245","Allen","C","45","3","0.01",0.96195652173913
"246","Allen","C","46","3","0.01",0.961748633879781
"247","Allen","C","47","3","0.01",0.961748633879781
"248","Allen","C","48","3","0.01",0.967741935483871
"249","Allen","C","49","3","0.01",0.967213114754098
"250","Allen","C","50","3","0.01",0.967567567567568
"251","Allen","C","51","3","0.01",0.96195652173913
"252","Allen","C","52","3","0.01",0.960674157303371
"253","Allen","C","53","3","0.01",0.961325966850829
"254","Allen","C","54","3","0.01",0.962162162162162
"255","Allen","C","55","3","0.01",0.962162162162162
"256","Allen","C","56","3","0.01",0.967391304347826
"257","Allen","C","57","3","0.01",0.961748633879781
"258","Allen","C","58","3","0.01",0.967391304347826
"259","Allen","C","59","3","0.01",0.962162162162162
"260","Allen","C","60","3","0.01",0.967741935483871
"261","Allen","C","61","3","0.01",0.96195652173913
"262","Allen","C","62","3","0.01",0.966850828729282
"263","Allen","C","63","3","0.01",0.962962962962963
"264","Allen","C","64","3","0.01",0.967741935483871
"265","Allen","C","65","3","0.01",0.966850828729282
"266","Allen","C","66","3","0.01",0.962162162162162
"267","Allen","C","67","3","0.01",0.96195652173913
"268","Allen","C","68","3","0.01",0.967914438502674
"269","Allen","C","69","3","0.01",0.961748633879781
"270","Allen","C","70","3","0.01",0.967391304347826
"271","Allen","C","71","3","0.01",0.966480446927374
"272","Allen","C","72","3","0.01",0.967567567567568
"273","Allen","C","73","3","0.01",0.967391304347826
"274","Allen","C","74","3","0.01",0.961748633879781
"275","Allen","C","75","3","0.01",0.961748633879781
"276","Allen","C","76","3","0.01",0.960893854748603
"277","Allen","C","77","3","0.01",0.966292134831461
"278","Allen","C","78","3","0.01",0.961538461538461
"279","Allen","C","79","3","0.01",0.962566844919786
"280","Allen","C","80","3","0.01",0.966666666666667
"281","Allen","C","81","3","0.01",0.962162162162162
"282","Allen","C","82","3","0.01",0.960893854748603
"283","Allen","C","83","3","0.01",0.967032967032967
"284","Allen","C","84","3","0.01",0.961748633879781
"285","Allen","C","85","3","0.01",0.967032967032967
"286","Allen","C","86","3","0.01",0.967032967032967
"287","Allen","C","87","3","0.01",0.961748633879781
"288","Allen","C","88","3","0.01",0.961748633879781
"289","Allen","C","89","3","0.01",0.96195652173913
"290","Allen","C","90","3","0.01",0.967213114754098
"291","Allen","C","91","3","0.01",0.967391304347826
"292","Allen","C","92","3","0.01",0.967213114754098
"293","Allen","C","93","3","0.01",0.961325966850829
"294","Allen","C","94","3","0.01",0.966480446927374
"295","Allen","C","95","3","0.01",0.962566844919786
"296","Allen","C","96","3","0.01",0.967741935483871
"297","Allen","C","97","3","0.01",0.96195652173913
"298","Allen","C","98","3","0.01",0.966666666666667
"299","Allen","C","99","3","0.01",0.967391304347826
"300","Allen","C","100","3","0.01",0.961325966850829
"301","Allen","C","1","1","0.05",1
"302","Allen","C","2","1","0.05",1
"303","Allen","C","3","1","0.05",1
"304","Allen","C","4","1","0.05",1
"305","Allen","C","5","1","0.05",1
"306","Allen","C","6","1","0.05",1
"307","Allen","C","7","1","0.05",1
"308","Allen","C","8","1","0.05",1
"309","Allen","C","9","1","0.05",1
"310","Allen","C","10","1","0.05",1
"311","Allen","C","11","1","0.05",1
"312","Allen","C","12","1","0.05",1
"313","Allen","C","13","1","0.05",1
"314","Allen","C","14","1","0.05",1
"315","Allen","C","15","1","0.05",1
"316","Allen","C","16","1","0.05",1
"317","Allen","C","17","1","0.05",1
"318","Allen","C","18","1","0.05",1
"319","Allen","C","19","1","0.05",1
"320","Allen","C","20","1","0.05",1
"321","Allen","C","21","1","0.05",1
"322","Allen","C","22","1","0.05",1
"323","Allen","C","23","1","0.05",1
"324","Allen","C","24","1","0.05",1
"325","Allen","C","25","1","0.05",1
"326","Allen","C","26","1","0.05",1
"327","Allen","C","27","1","0.05",1
"328","Allen","C","28","1","0.05",1
"329","Allen","C","29","1","0.05",1
"330","Allen","C","30","1","0.05",1
"331","Allen","C","31","1","0.05",1
"332","Allen","C","32","1","0.05",1
"333","Allen","C","33","1","0.05",1
"334","Allen","C","34","1","0.05",1
"335","Allen","C","35","1","0.05",1
"336","Allen","C","36","1","0.05",1
"337","Allen","C","37","1","0.05",1
"338","Allen","C","38","1","0.05",1
"339","Allen","C","39","1","0.05",1
"340","Allen","C","40","1","0.05",1
"341","Allen","C","41","1","0.05",1
"342","Allen","C","42","1","0.05",1
"343","Allen","C","43","1","0.05",1
"344","Allen","C","44","1","0.05",1
"345","Allen","C","45","1","0.05",1
"346","Allen","C","46","1","0.05",1
"347","Allen","C","47","1","0.05",1
"348","Allen","C","48","1","0.05",1
"349","Allen","C","49","1","0.05",1
"350","Allen","C","50","1","0.05",1
"351","Allen","C","51","1","0.05",1
"352","Allen","C","52","1","0.05",1
"353","Allen","C","53","1","0.05",1
"354","Allen","C","54","1","0.05",1
"355","Allen","C","55","1","0.05",1
"356","Allen","C","56","1","0.05",1
"357","Allen","C","57","1","0.05",1
"358","Allen","C","58","1","0.05",1
"359","Allen","C","59","1","0.05",1
"360","Allen","C","60","1","0.05",1
"361","Allen","C","61","1","0.05",1
"362","Allen","C","62","1","0.05",1
"363","Allen","C","63","1","0.05",1
"364","Allen","C","64","1","0.05",1
"365","Allen","C","65","1","0.05",1
"366","Allen","C","66","1","0.05",1
"367","Allen","C","67","1","0.05",1
"368","Allen","C","68","1","0.05",1
"369","Allen","C","69","1","0.05",1
"370","Allen","C","70","1","0.05",1
"371","Allen","C","71","1","0.05",1
"372","Allen","C","72","1","0.05",1
"373","Allen","C","73","1","0.05",1
"374","Allen","C","74","1","0.05",1
"375","Allen","C","75","1","0.05",1
"376","Allen","C","76","1","0.05",1
"377","Allen","C","77","1","0.05",1
"378","Allen","C","78","1","0.05",1
"379","Allen","C","79","1","0.05",1
"380","Allen","C","80","1","0.05",1
"381","Allen","C","81","1","0.05",1
"382","Allen","C","82","1","0.05",1
"383","Allen","C","83","1","0.05",1
"384","Allen","C","84","1","0.05",1
"385","Allen","C","85","1","0.05",1
"386","Allen","C","86","1","0.05",1
"387","Allen","C","87","1","0.05",1
"388","Allen","C","88","1","0.05",1
"389","Allen","C","89","1","0.05",1
"390","Allen","C","90","1","0.05",1
"391","Allen","C","91","1","0.05",1
"392","Allen","C","92","1","0.05",1
"393","Allen","C","93","1","0.05",1
"394","Allen","C","94","1","0.05",1
"395","Allen","C","95","1","0.05",1
"396","Allen","C","96","1","0.05",1
"397","Allen","C","97","1","0.05",1
"398","Allen","C","98","1","0.05",1
"399","Allen","C","99","1","0.05",1
"400","Allen","C","100","1","0.05",1
"401","Allen","C","1","2","0.05",1
"402","Allen","C","2","2","0.05",1
"403","Allen","C","3","2","0.05",1
"404","Allen","C","4","2","0.05",1
"405","Allen","C","5","2","0.05",1
"406","Allen","C","6","2","0.05",1
"407","Allen","C","7","2","0.05",1
"408","Allen","C","8","2","0.05",1
"409","Allen","C","9","2","0.05",1
"410","Allen","C","10","2","0.05",1
"411","Allen","C","11","2","0.05",1
"412","Allen","C","12","2","0.05",1
"413","Allen","C","13","2","0.05",1
"414","Allen","C","14","2","0.05",1
"415","Allen","C","15","2","0.05",1
"416","Allen","C","16","2","0.05",1
"417","Allen","C","17","2","0.05",1
"418","Allen","C","18","2","0.05",1
"419","Allen","C","19","2","0.05",1
"420","Allen","C","20","2","0.05",1
"421","Allen","C","21","2","0.05",1
"422","Allen","C","22","2","0.05",1
"423","Allen","C","23","2","0.05",1
"424","Allen","C","24","2","0.05",1
"425","Allen","C","25","2","0.05",1
"426","Allen","C","26","2","0.05",1
"427","Allen","C","27","2","0.05",1
"428","Allen","C","28","2","0.05",1
"429","Allen","C","29","2","0.05",1
"430","Allen","C","30","2","0.05",1
"431","Allen","C","31","2","0.05",1
"432","Allen","C","32","2","0.05",1
"433","Allen","C","33","2","0.05",1
"434","Allen","C","34","2","0.05",1
"435","Allen","C","35","2","0.05",1
"436","Allen","C","36","2","0.05",1
"437","Allen","C","37","2","0.05",1
"438","Allen","C","38","2","0.05",1
"439","Allen","C","39","2","0.05",1
"440","Allen","C","40","2","0.05",1
"441","Allen","C","41","2","0.05",1
"442","Allen","C","42","2","0.05",1
"443","Allen","C","43","2","0.05",1
"444","Allen","C","44","2","0.05",1
"445","Allen","C","45","2","0.05",1
"446","Allen","C","46","2","0.05",1
"447","Allen","C","47","2","0.05",1
"448","Allen","C","48","2","0.05",1
"449","Allen","C","49","2","0.05",1
"450","Allen","C","50","2","0.05",1
"451","Allen","C","51","2","0.05",1
"452","Allen","C","52","2","0.05",1
"453","Allen","C","53","2","0.05",1
"454","Allen","C","54","2","0.05",1
"455","Allen","C","55","2","0.05",1
"456","Allen","C","56","2","0.05",1
"457","Allen","C","57","2","0.05",1
"458","Allen","C","58","2","0.05",1
"459","Allen","C","59","2","0.05",1
"460","Allen","C","60","2","0.05",1
"461","Allen","C","61","2","0.05",1
"462","Allen","C","62","2","0.05",1
"463","Allen","C","63","2","0.05",1
"464","Allen","C","64","2","0.05",1
"465","Allen","C","65","2","0.05",1
"466","Allen","C","66","2","0.05",1
"467","Allen","C","67","2","0.05",1
"468","Allen","C","68","2","0.05",1
"469","Allen","C","69","2","0.05",1
"470","Allen","C","70","2","0.05",1
"471","Allen","C","71","2","0.05",1
"472","Allen","C","72","2","0.05",1
"473","Allen","C","73","2","0.05",1
"474","Allen","C","74","2","0.05",1
"475","Allen","C","75","2","0.05",1
"476","Allen","C","76","2","0.05",1
"477","Allen","C","77","2","0.05",1
"478","Allen","C","78","2","0.05",1
"479","Allen","C","79","2","0.05",1
"480","Allen","C","80","2","0.05",1
"481","Allen","C","81","2","0.05",1
"482","Allen","C","82","2","0.05",1
"483","Allen","C","83","2","0.05",1
"484","Allen","C","84","2","0.05",1
"485","Allen","C","85","2","0.05",1
"486","Allen","C","86","2","0.05",1
"487","Allen","C","87","2","0.05",1
"488","Allen","C","88","2","0.05",1
"489","Allen","C","89","2","0.05",1
"490","Allen","C","90","2","0.05",1
"491","Allen","C","91","2","0.05",1
"492","Allen","C","92","2","0.05",1
"493","Allen","C","93","2","0.05",1
"494","Allen","C","94","2","0.05",1
"495","Allen","C","95","2","0.05",1
"496","Allen","C","96","2","0.05",1
"497","Allen","C","97","2","0.05",1
"498","Allen","C","98","2","0.05",1
"499","Allen","C","99","2","0.05",1
"500","Allen","C","100","2","0.05",1
"501","Allen","C","1","3","0.05",0.973684210526316
"502","Allen","C","2","3","0.05",0.974747474747475
"503","Allen","C","3","3","0.05",0.964705882352941
"504","Allen","C","4","3","0.05",0.967914438502674
"505","Allen","C","5","3","0.05",0.967391304347826
"506","Allen","C","6","3","0.05",0.972972972972973
"507","Allen","C","7","3","0.05",0.974747474747475
"508","Allen","C","8","3","0.05",0.966480446927374
"509","Allen","C","9","3","0.05",0.967567567567568
"510","Allen","C","10","3","0.05",0.971910112359551
"511","Allen","C","11","3","0.05",0.972527472527473
"512","Allen","C","12","3","0.05",0.967567567567568
"513","Allen","C","13","3","0.05",0.965909090909091
"514","Allen","C","14","3","0.05",0.968553459119497
"515","Allen","C","15","3","0.05",0.961325966850829
"516","Allen","C","16","3","0.05",0.973262032085562
"517","Allen","C","17","3","0.05",0.966292134831461
"518","Allen","C","18","3","0.05",0.967213114754098
"519","Allen","C","19","3","0.05",0.973684210526316
"520","Allen","C","20","3","0.05",0.972677595628415
"521","Allen","C","21","3","0.05",0.965317919075145
"522","Allen","C","22","3","0.05",0.968085106382979
"523","Allen","C","23","3","0.05",0.972826086956522
"524","Allen","C","24","3","0.05",0.963414634146341
"525","Allen","C","25","3","0.05",0.969072164948454
"526","Allen","C","26","3","0.05",0.973404255319149
"527","Allen","C","27","3","0.05",0.976635514018692
"528","Allen","C","28","3","0.05",0.960526315789474
"529","Allen","C","29","3","0.05",0.973118279569892
"530","Allen","C","30","3","0.05",0.975124378109453
"531","Allen","C","31","3","0.05",0.972222222222222
"532","Allen","C","32","3","0.05",0.973821989528796
"533","Allen","C","33","3","0.05",0.971428571428571
"534","Allen","C","34","3","0.05",0.965714285714286
"535","Allen","C","35","3","0.05",0.971910112359551
"536","Allen","C","36","3","0.05",0.973684210526316
"537","Allen","C","37","3","0.05",0.965317919075145
"538","Allen","C","38","3","0.05",0.975845410628019
"539","Allen","C","39","3","0.05",0.964912280701754
"540","Allen","C","40","3","0.05",0.965317919075145
"541","Allen","C","41","3","0.05",0.972677595628415
"542","Allen","C","42","3","0.05",0.966480446927374
"543","Allen","C","43","3","0.05",0.966292134831461
"544","Allen","C","44","3","0.05",0.967032967032967
"545","Allen","C","45","3","0.05",0.973404255319149
"546","Allen","C","46","3","0.05",0.967032967032967
"547","Allen","C","47","3","0.05",0.972677595628415
"548","Allen","C","48","3","0.05",0.98
"549","Allen","C","49","3","0.05",0.967567567567568
"550","Allen","C","50","3","0.05",0.979381443298969
"551","Allen","C","51","3","0.05",0.973544973544973
"552","Allen","C","52","3","0.05",0.968354430379747
"553","Allen","C","53","3","0.05",0.964912280701754
"554","Allen","C","54","3","0.05",0.973958333333333
"555","Allen","C","55","3","0.05",0.973958333333333
"556","Allen","C","56","3","0.05",0.973821989528796
"557","Allen","C","57","3","0.05",0.972677595628415
"558","Allen","C","58","3","0.05",0.968253968253968
"559","Allen","C","59","3","0.05",0.974093264248705
"560","Allen","C","60","3","0.05",0.975124378109453
"561","Allen","C","61","3","0.05",0.973544973544973
"562","Allen","C","62","3","0.05",0.971428571428571
"563","Allen","C","63","3","0.05",0.976525821596244
"564","Allen","C","64","3","0.05",0.974747474747475
"565","Allen","C","65","3","0.05",0.971590909090909
"566","Allen","C","66","3","0.05",0.974226804123711
"567","Allen","C","67","3","0.05",0.973262032085562
"568","Allen","C","68","3","0.05",0.975845410628019
"569","Allen","C","69","3","0.05",0.967391304347826
"570","Allen","C","70","3","0.05",0.968253968253968
"571","Allen","C","71","3","0.05",0.963636363636364
"572","Allen","C","72","3","0.05",0.974489795918367
"573","Allen","C","73","3","0.05",0.973684210526316
"574","Allen","C","74","3","0.05",0.966850828729282
"575","Allen","C","75","3","0.05",0.967032967032967
"576","Allen","C","76","3","0.05",0.96969696969697
"577","Allen","C","77","3","0.05",0.9625
"578","Allen","C","78","3","0.05",0.971751412429379
"579","Allen","C","79","3","0.05",0.975490196078431
"580","Allen","C","80","3","0.05",0.964912280701754
"581","Allen","C","81","3","0.05",0.979274611398964
"582","Allen","C","82","3","0.05",0.969512195121951
"583","Allen","C","83","3","0.05",0.966850828729282
"584","Allen","C","84","3","0.05",0.972527472527473
"585","Allen","C","85","3","0.05",0.971910112359551
"586","Allen","C","86","3","0.05",0.972222222222222
"587","Allen","C","87","3","0.05",0.972677595628415
"588","Allen","C","88","3","0.05",0.972527472527473
"589","Allen","C","89","3","0.05",0.968085106382979
"590","Allen","C","90","3","0.05",0.967032967032967
"591","Allen","C","91","3","0.05",0.973684210526316
"592","Allen","C","92","3","0.05",0.967567567567568
"593","Allen","C","93","3","0.05",0.965116279069767
"594","Allen","C","94","3","0.05",0.963636363636364
"595","Allen","C","95","3","0.05",0.975124378109453
"596","Allen","C","96","3","0.05",0.969849246231156
"597","Allen","C","97","3","0.05",0.968085106382979
"598","Allen","C","98","3","0.05",0.970760233918129
"599","Allen","C","99","3","0.05",0.968085106382979
"600","Allen","C","100","3","0.05",0.965317919075145
"601","Allen","D","1","1","0.01",0.93491124260355
"602","Allen","D","2","1","0.01",0.935294117647059
"603","Allen","D","3","1","0.01",0.939759036144578
"604","Allen","D","4","1","0.01",0.94047619047619
"605","Allen","D","5","1","0.01",0.93452380952381
"606","Allen","D","6","1","0.01",0.94047619047619
"607","Allen","D","7","1","0.01",0.923529411764706
"608","Allen","D","8","1","0.01",0.940119760479042
"609","Allen","D","9","1","0.01",0.93452380952381
