"","stock","y","ymin","ymax","variable","value","L1"
"9817",4.89795918367347,4.77236909269626,4.49891348182487,5.04582470356765,"Myers",5.19007142184846,41
"9818",5.20408163265306,5.19829818662363,4.95857164342035,5.4380247298269,"Myers",5.47961311784611,41
"9819",5.51020408163265,5.6158610781794,5.40728263519354,5.82443952116526,"Myers",5.76432692075142,41
"9820",5.81632653061224,6.018062814428,5.83742729078357,6.19869833807244,"Myers",6.04426924919603,41
"9821",6.12244897959184,6.39775025597365,6.24170164425796,6.55379886768933,"Myers",6.31950334991537,41
"9822",6.42857142857143,6.74780909631599,6.61327446974054,6.88234372289143,"Myers",6.59009773198332,41
"9823",6.73469387755102,7.06137301464648,6.94568513034122,7.17706089895174,"Myers",6.85612490827155,41
"9824",7.04081632653061,7.33203409779593,7.23231176812103,7.43175642747083,"Myers",7.1176603770461,41
"9825",7.3469387755102,7.5540485007857,7.46529083551661,7.64280616605479,"Myers",7.37478179337151,41
"9826",7.6530612244898,7.72252649343565,7.63468411410554,7.81036887276576,"Myers",7.62756829202729,41
"9827",7.95918367346939,7.83359799912202,7.73131706985824,7.9358789283858,"Myers",7.87609993242512,41
"9828",8.26530612244898,7.88454653365218,7.75201370395135,8.01707936335301,"Myers",8.12045724252294,41
"9829",8.57142857142857,7.87390414011842,7.6982351327801,8.04957314745674,"Myers",8.36072084361857,41
"9830",8.87755102040816,7.80150336633056,7.57249039925405,8.03051633340707,"Myers",8.59697114161938,41
"9831",9.18367346938776,7.6684829878385,7.37770293190209,7.95926304377492,"Myers",8.82928807324041,41
"9832",9.48979591836735,7.47724708492589,7.11757460910156,7.83691956075022,"Myers",9.0577508978005,41
"9833",9.79591836734694,7.23138035994612,6.79680252292395,7.6659581969683,"Myers",9.28243802702504,41
"9834",10.1020408163265,6.93552255336583,6.42108924317539,7.44995586355628,"Myers",9.50342688663914,41
"9835",10.4081632653061,6.59520814537773,5.99703066239166,7.19338562836379,"Myers",9.72079380463115,41
"9836",10.7142857142857,6.21668131098281,5.5319387859908,6.90142383597483,"Myers",9.93461392194754,41
"9837",11.0204081632653,5.80669060484384,5.03362621216058,6.5797549975271,"Myers",10.144961122092,41
"9838",11.3265306122449,5.37227704500247,4.51017633825467,6.23437775175028,"Myers",10.3519079766813,41
"9839",11.6326530612245,4.92056238246414,3.96971123039333,5.87141353453494,"Myers",10.5555257044851,41
"9840",11.9387755102041,4.45854723512661,3.4201696470345,5.49692482321872,"Myers",10.7558841418678,41
"9841",0,-0.234062981631937,-0.717526060914824,0.249400097650951,"GP",-0.234062981631937,42
"9842",0.306122448979592,0.000454332473994346,-0.470896360076364,0.471805025024353,"GP",0.000454332473994346,42
"9843",0.612244897959184,0.256504740912078,-0.213628525681059,0.726638007505215,"GP",0.256504740912078,42
"9844",0.918367346938776,0.533439394148114,0.0574900632564281,1.0093887250398,"GP",0.533439394148114,42
"9845",1.22448979591837,0.830355085979856,0.345568330585339,1.31514184137437,"GP",0.830355085979856,42
"9846",1.53061224489796,1.1460837991696,0.652911235943892,1.63925636239531,"GP",1.1460837991696,42
"9847",1.83673469387755,1.4791853754156,0.980721455534258,1.97764929529694,"GP",1.4791853754156,42
"9848",2.14285714285714,1.82794419248477,1.32907523007421,2.32681315489533,"GP",1.82794419248477,42
"9849",2.44897959183673,2.19037049839395,1.69701881858304,2.68372217820486,"GP",2.19037049839395,42
"9850",2.75510204081633,2.56420692724877,2.08269691396658,3.04571694053095,"GP",2.56420692724877,42
